,State,County,Population_Estimate_2015,LACCESS_POP15,LACCESS_LOWI15,LACCESS_HHNV15,LACCESS_SNAP15,LACCESS_CHILD15,LACCESS_SENIORS15,LACCESS_WHITE15,LACCESS_BLACK15,LACCESS_HISP15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_MULTIR15,FOODINSEC_15_17,VLFOODSEC_15_17,MEDHHINC15,POVRATE15,GROC15,SUPERC15,CONVS15,SPECS15,WICS15,FFR15,SNAPS15
2457,TN,Greene,68521,6489.646377,2502.82446,719.5578599,514.5292938,1447.03576,1149.766463,6246.41795,87.05177391,149.4577846,25.88540241,10.53282346,118.6572989,12.9,5.7,36309,18,13.1003679,1,44.94981605,2,10.94981605,42.94981605,87.53947749
2458,TN,Grundy,13335,135.4241778,98.49219653,289.6262883,19.41844187,24.49025105,27.24667998,132.9525442,1.11253166,1.112131499,0,0.46383351,0.895267753,12.9,5.7,33595,26.1,6.050183952,0,11.94981605,0,2.79926419,4.949816048,25.47970319
2459,TN,Hamblen,63375,27609.29259,11826.87853,869.6005093,2422.246772,6820.682236,4465.708913,23576.13945,1307.667958,3001.045096,192.3738241,108.9968915,2392.07248,12.9,5.7,39566,19,14.1003679,2.050183952,39.8996321,2,11.1003679,55,80.37729941
2460,TN,Hamilton,353769,138476.9449,46487.76437,4555.41226,8293.105573,31843.67467,20378.01754,97518.44297,34317.84528,4573.760483,2160.870873,402.9637865,4008.058064,12.9,5.7,48943,15.2,57.69889629,8,203.8531272,19.05018395,57.79926419,329.4051507,361.7225656
2461,TN,Hancock,6579,66.53957172,26.12294289,185.082564,10.23975683,5.455904291,19.08137044,62.50035942,0,0,0,0,4.039211869,12.9,5.7,27987,30.1,1,0,2.849448143,0,0.949816048,0.949816048,7.662178083
2462,TN,Hardeman,25782,7469.06003,5218.115601,592.2301319,574.7129222,1319.174542,780.4318162,3300.752454,4064.86479,98.91810185,14.871902,12.43035448,76.14054222,12.9,5.7,37729,24.2,6,1,18.8996321,0,4.899632095,8,25.41666667
2463,TN,Hardin,25754,3650.040675,1854.358225,362.5669673,331.7088345,769.8871449,742.4797345,3487.053244,69.8616887,72.43112997,18.30548041,4.102571376,65.9044006,12.9,5.7,36765,22.7,6.949816048,1,20.05018395,1.050183952,5.899632095,12,29.82435617
2464,TN,Hawkins,56251,11433.53299,3991.894034,796.0988969,714.6370622,2571.006523,1772.331852,11089.86398,114.7935358,150.2118254,66.53688166,21.17602995,137.1625588,12.9,5.7,38708,21.2,9.050183952,1,30.20073581,2.050183952,8,26.74908024,53.14636986
2465,TN,Haywood,17985,2992.977457,1561.22965,362.886065,386.4879661,768.34089,374.7819631,1147.185707,1777.444968,70.41057418,0,4.000141618,64.34663411,12.9,5.7,35216,22.5,2.949816048,1,15.1003679,-0.050183952,3,12.05018395,28.40055186
2466,TN,Henderson,27969,3523.628079,1233.223534,435.6254196,266.4645129,838.2343843,480.4733573,3019.113382,379.8250882,65.80977414,5.217440462,5.218592148,114.2535871,12.9,5.7,41328,17.5,4,1,18.8996321,-0.050183952,3.949816048,16.94981605,23.70787345
2467,TN,Henry,32134,6159.815761,2599.7942,535.1900482,610.1360692,1235.896304,1343.592339,5383.575521,598.2992046,85.12672001,23.79836388,23.43658011,130.7061132,12.9,5.7,38328,19.1,3.849448143,1,20.94981605,1.050183952,4.899632095,22.8996321,31.22939661
2468,TN,Hickman,24378,2775.948616,1270.286362,504.3786313,128.740471,378.7142297,229.3642659,2025.51481,693.2210191,74.74906616,5.000000063,10.03350664,42.17926324,12.9,5.7,39682,20.4,2,0,16.20073581,0,2.949816048,6.050183952,20.24612459
2469,TN,Houston,8123,214.2499277,116.2429762,93.89148412,15.9745548,35.8504942,45.68244551,206.0322733,0.003223843,4.266552262,0.311140201,2.954321969,4.948968697,12.9,5.7,39999,19.5,2,0,5,0,1.949816048,7.100367905,7.795695369
2470,TN,Humphreys,18143,1206.506907,490.8596449,217.7495363,59.1622854,312.4469938,211.1416526,1109.454901,53.13328292,27.14780844,3.969370853,12.48518711,27.43346232,12.9,5.7,43657,15.9,2.949816048,1,14.05018395,-0.050183952,5,13.05018395,16.07527593
2471,TN,Jackson,11526,1.603731649,0.68022481,205.4815586,0.113222227,0.229108502,0.458161262,1.603703778,0,0,0,0,2.7871E-05,12.9,5.7,34651,23.6,2,0,6,0,2,1.949816048,8.361994131
2472,TN,Jefferson,52981,2646.345565,1312.398472,737.4763429,226.8584024,616.8670552,392.3050926,2335.266277,129.9936008,237.3762299,9.988142633,13.86005002,157.2375047,12.9,5.7,42669,16.8,4,1,29.20073581,1.050183952,5,34.30110371,48.07742204
2473,TN,Johnson,17833,2275.559271,872.6961553,356.2304681,214.7448418,429.8283989,410.6603918,2233.829962,3.420478649,21.9318066,2.49440262,6.342513178,29.47191071,12.9,5.7,33402,27.2,3.949816048,0,7.949816048,0,2.899632095,9,19.1496321
2474,TN,Knox,451161,157839.1679,49168.39945,4113.88876,7645.360345,37960.96528,19444.20017,133500.4566,15389.38652,5558.970661,2954.11956,450.2727346,5416.644084,12.9,5.7,52136,15.6,71.1003679,11.15055186,225.1003679,24.05018395,46.94981605,427.8641643,378.0834436
2475,TN,Lake,7573,14.70110096,7.537332237,159.3098441,2.466977809,3.889548745,0.51991122,14.70110096,0,0,0,0,0,12.9,5.7,29908,43.1,2.050183952,0,1.949816048,0,2,3.050183952,7.949816048
2476,TN,Lauderdale,26916,2397.083511,1562.812209,503.4882294,338.9126012,681.0686255,307.5066738,810.0614501,1530.604017,32.19182261,2.364057452,8.336661812,45.71234673,12.9,5.7,34715,26.2,3.949816048,1,19.69889629,0,3.949816048,8.899632095,24.76968363
2477,TN,Lawrence,42450,3120.204647,1200.217291,767.7279968,209.0048491,733.3914768,521.9240976,2993.60748,34.24300801,61.47268086,4.546248952,23.40738503,64.40053827,12.9,5.7,40076,18.9,8.100367905,1,31.64871233,3.050183952,6.949816048,29.1003679,46.52478539
