FIPS,County,NEAREST_1,NEAREST_2,NEAREST_3,NEAREST_4,NEAREST_5,NEAREST_6,NEAREST_7,NEAREST_8,NEAREST_9,NEAREST_10,NEAREST_11,NEAREST_12,NEAREST_13,NEAREST_14,NEAREST_15,NEAREST_16,NEAREST_17,NEAREST_18,NEAREST_19,NEAREST_20
5077,Lee,5077,16079,8105,21233,29057,27043,55117,13123,39125,13127,38097,17131,48403,31023,21107,13111,31159,35009,48391,49009
5079,Lincoln,5079,18035,31129,20107,28023,48249,13279,2100,54011,48401,24019,49013,55031,41069,29111,27129,45051,29045,23011,17191
5081,Little River,5081,50019,21187,42045,51139,13053,41047,15005,53005,48251,2060,46019,22065,1057,30087,6055,48061,1075,12049,39059
5083,Logan,5083,39055,6087,47099,33013,18089,37071,48331,51135,46083,12127,22091,29223,55103,13131,6029,21125,22105,26145,51111
5085,Lonoke,5085,20067,21195,19101,51115,56043,28041,48297,17087,53045,13083,23023,18183,38039,27063,48455,37165,13299,20037,42031
5087,Madison,5087,17097,27069,53073,31051,38023,37083,47085,25017,22089,31017,19061,38013,22093,22007,47173,40117,31165,32003,38067
5089,Marion,5089,26163,36001,48259,30019,5005,40145,36101,26005,47159,12041,47089,47045,37015,5009,25025,17201,47029,17177,16083
5091,Miller,5091,49019,21117,21037,1125,30093,13263,51187,45011,8073,41005,29025,12043,21015,8037,55119,20041,20061,4013,34033
5093,Mississippi,5093,27089,22051,47147,19069,17015,22019,48205,37171,40153,47155,30005,16005,47009,35055,22057,31173,36093,25021,48089
5095,Monroe,5095,19057,29011,36049,8079,46075,37017,13313,21225,31185,42033,40049,1129,16023,13129,48451,18003,48405,17069,13213
5097,Montgomery,5097,51075,21151,1079,16015,6001,20015,48475,4025,13095,55081,29187,28085,46101,30049,18111,31047,26051,19053,45039
5099,Nevada,5099,45017,21161,53071,48003,29510,12093,54051,48275,13193,30043,18107,51153,1073,21201,38051,34029,34005,29115,28121
5101,Newton,5101,47187,37059,55065,22071,26093,29069,53019,16041,48111,47173,12123,41035,40117,5021,37131,25009,47057,48473,36123
5103,Ouachita,5103,48023,8047,55073,42059,26007,27115,13023,45027,27073,12111,18063,28123,30017,21135,29115,34029,20147,13153,13235
5105,Perry,5105,8083,18149,51670,36087,49057,29031,42085,26157,51149,48313,13075,16025,51036,37179,51570,8009,19125,32013,51730
5107,Phillips,5107,38007,56019,13191,13227,40099,27013,38017,53053,17071,21101,39161,48007,31159,35009,1025,48391,29039,54081,39107
5109,Pike,5109,46011,1133,48495,13177,28029,23003,29129,18171,21017,26129,51109,31073,2185,39019,39067,21049,34019,51137,29099
5111,Poinsett,5111,29009,51077,55079,19045,9015,41025,22109,48285,31039,53061,19081,2188,31167,44007,40081,26059,47123,37101,37195
5113,Polk,5113,19159,26035,42095,21167,38015,1059,17075,20173,8089,50017,55063,27021,21021,16045,48309,48389,13037,13099,53025
5115,Pope,5115,19167,47117,26021,38005,19099,29207,40025,56013,49005,26049,21013,37025,33015,12079,56001,22103,48185,51183,51175
5117,Prairie,5117,42065,2282,2275,55039,13295,38091,17151,19087,48005,13047,51131,13025,27091,48025,48235,20081,6043,17069,36103
5119,Pulaski,5119,23005,1071,17181,30021,55047,28035,13003,20187,19179,48311,51073,48225,35019,21119,26063,46071,51119,20133,40031
5121,Randolph,5121,31027,37181,26045,12107,48021,37027,40103,47049,16073,37077,22093,5143,36025,26065,25011,37003,38023,36121,53047
5123,St. Francis,5123,39039,48469,21107,17131,47139,36043,31023,42023,29109,27043,20119,37163,38053,38097,55089,19189,2158,29057,13111
5125,Saline,5125,13019,45025,48461,6099,20205,36005,51127,21025,51097,28073,27101,55077,48283,31019,51101,49029,18049,56017,48289
5127,Scott,5127,46033,6081,39153,29179,21137,17091,13201,55123,48087,1077,42089,46087,28005,48323,38083,1033,51049,12095,51147
5129,Searcy,5129,37091,36123,47095,26125,55045,25009,47149,40131,42049,16041,48473,53065,36021,40043,22071,12067,4005,56031,48421
5131,Sebastian,5131,17197,33019,51037,22037,31113,16001,47181,12069,26083,42069,47071,13253,55023,45021,21207,37045,49003,29035,46047
5133,Sevier,5133,45081,21073,41043,51079,42091,13259,8025,35053,31145,50005,29071,29075,28021,27035,1093,48301,49045,13239,21209
5135,Sharp,5135,6031,37011,19055,12045,47005,19025,31165,47171,22007,19019,19161,19061,38067,47141,48149,16021,30091,19079,19093
5137,Stone,5137,40011,55105,16053,26099,19011,47131,56031,19021,47015,47073,40131,37029,37073,40097,31003,12125,41037,12023,12121
5139,Union,5139,13319,29175,39131,48503,6061,18109,45015,41055,28079,20177,48447,2105,18081,55069,48115,48379,24031,54049,54077
5141,Van Buren,5141,51105,53009,28045,51620,31071,51800,6015,55025,40039,40105,36027,48339,38071,26027,47031,12047,19141,40147,36011
5143,Washington,5143,16073,26045,37027,37077,31027,38023,22093,5121,53047,25011,48071,47085,5087,37121,26065,47017,37181,16031,12107
